category1,category2,industry_Type,attribute_Type,purchase_supply,crawl_Time
童装,儿童袜,热门基础属性,"丝袜 : 60,271/21,202",2019-10-05 18:34:29
童装,连身衣、爬服,热门基础属性,"长袖 : 300,916/90,655",2019-10-05 18:34:30
童装,连身衣、爬服,热门基础属性,"短袖 : 90,655/47,260",2019-10-05 18:34:30
童装,连身衣、爬服,热门基础属性,"无袖 : 47,260/39,454",2019-10-05 18:34:30
童装,连身衣、爬服,热门基础属性,"普通 : 39,454/26,037",2019-10-05 18:34:30
童装,连身衣、爬服,热门基础属性,"加厚 : 26,037/22,178",2019-10-05 18:34:30
童装,连身衣、爬服,热门基础属性,"薄款 : 22,178/239,531",2019-10-05 18:34:30
童装,连身衣、爬服,热门基础属性,"加绒 : 239,531/74,618",2019-10-05 18:34:30
童装,连身衣、爬服,热门基础属性,"长爬 : 74,618/86,963",2019-10-05 18:34:30
童装,连身衣、爬服,热门基础属性,"三角爬 : 86,963/41,912",2019-10-05 18:34:30
童装,连身衣、爬服,热门基础属性,"短爬 : 41,912/47,527",2019-10-05 18:34:30
童装,连身衣、爬服,热门基础属性,"蝴蝶衣 : 47,527/35,373",2019-10-05 18:34:30
童装,连身衣、爬服,热门基础属性,"三角哈衣 : 35,373/1",2019-10-05 18:34:30
童装,连身衣、爬服,热门基础属性,秋季 : 1/23,2019-10-05 18:34:30
童装,连身衣、爬服,热门基础属性,"春季 : 23/222,319",2019-10-05 18:34:30
童装,连身衣、爬服,热门基础属性,"春秋 : 222,319/67,400",2019-10-05 18:34:30
童装,连身衣、爬服,热门基础属性,"冬季 : 67,400/65,346",2019-10-05 18:34:30
童装,连身衣、爬服,热门基础属性,"夏季 : 65,346/32,917",2019-10-05 18:34:30
童装,连身衣、爬服,热门基础属性,"韩版 : 32,917/39,372",2019-10-05 18:34:30
童装,连身衣、爬服,热门基础属性,"休闲 : 39,372/27,366",2019-10-05 18:34:30
童装,连身衣、爬服,热门基础属性,"欧美 : 27,366/7,487",2019-10-05 18:34:30
童装,连身衣、爬服,热门基础属性,"公主 : 7,487/2,667",2019-10-05 18:34:30
童装,连身衣、爬服,热门基础属性,"中性 : 2,667/2",2019-10-05 18:34:30
童装,亲子装,热门基础属性,"家庭装 : 90,075/34,218",2019-10-05 18:34:30
童装,亲子装,热门基础属性,"母女装 : 34,218/37,486",2019-10-05 18:34:30
童装,亲子装,热门基础属性,"母子装 : 37,486/22,246",2019-10-05 18:34:30
童装,亲子装,热门基础属性,"父子装 : 22,246/4,412",2019-10-05 18:34:30
童装,亲子装,热门基础属性,"父女装 : 4,412/3,127",2019-10-05 18:34:30
童装,亲子装,热门基础属性,"秋季 : 3,127/869",2019-10-05 18:34:30
童装,亲子装,热门基础属性,春秋 : 869/746,2019-10-05 18:34:30
童装,亲子装,热门基础属性,春季 : 746/94,2019-10-05 18:34:30
童装,亲子装,热门基础属性,冬季 : 94/84,2019-10-05 18:34:30
童装,亲子装,热门基础属性,"夏季 : 84/72,311",2019-10-05 18:34:30
童装,亲子装,热门基础属性,"韩版 : 72,311/16,291",2019-10-05 18:34:30
童装,亲子装,热门基础属性,"休闲 : 16,291/48,097",2019-10-05 18:34:30
童装,亲子装,热门基础属性,"欧美 : 48,097/14,925",2019-10-05 18:34:30
童装,亲子装,热门基础属性,"运动 : 14,925/45,383",2019-10-05 18:34:30
童装,亲子装,热门基础属性,"百搭 : 45,383/15,238",2019-10-05 18:34:30
童装,亲子装,热门基础属性,"卫衣/绒衫 : 15,238/44,991",2019-10-05 18:34:30
童装,亲子装,热门基础属性,"套装 : 44,991/9,442",2019-10-05 18:34:30
童装,亲子装,热门基础属性,"家居服 : 9,442/35,728",2019-10-05 18:34:30
童装,亲子装,热门基础属性,"外套 : 35,728/33,502",2019-10-05 18:34:30
童装,亲子装,热门基础属性,"印花 : 33,502/55,258",2019-10-05 18:34:30
童装,亲子装,热门基础属性,"卡通 : 55,258/17,945",2019-10-05 18:34:30
童装,亲子装,热门基础属性,"套装 : 17,945/30,498",2019-10-05 18:34:30
童装,亲子装,热门基础属性,"运动 : 30,498/21,946",2019-10-05 18:34:30
童装,亲子装,热门基础属性,"条纹 : 21,946/15,134",2019-10-05 18:34:30
童装,童T恤,热门基础属性,"长袖 : 189,537/83,491",2019-10-05 18:34:30
童装,童T恤,热门基础属性,"短袖 : 83,491/98,287",2019-10-05 18:34:30
童装,童T恤,热门基础属性,"无袖 : 98,287/122,149",2019-10-05 18:34:30
童装,童T恤,热门基础属性,"五分袖/中袖 : 122,149/3,620",2019-10-05 18:34:30
童装,童T恤,热门基础属性,"七分 : 3,620/6,294",2019-10-05 18:34:30
童装,童T恤,热门基础属性,"韩版 : 6,294/1,463",2019-10-05 18:34:30
童装,童T恤,热门基础属性,"休闲 : 1,463/1,100",2019-10-05 18:34:30
童装,童T恤,热门基础属性,"欧美 : 1,100/1,090",2019-10-05 18:34:30
童装,童T恤,热门基础属性,"百搭 : 1,090/796",2019-10-05 18:34:30
童装,童T恤,热门基础属性,"运动 : 796/174,668",2019-10-05 18:34:30
童装,童T恤,热门基础属性,"秋季 : 174,668/98,820",2019-10-05 18:34:30
