category1,category2,industry_Type,industry_Name,purchaseIndex1688,supplyIndex,crawl_Time
童装,儿童防晒衣/皮肤衣,热门行业,儿童防晒衣/皮肤衣,211,989,2019-10-06 15:36:47
童装,儿童防晒衣/皮肤衣,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:47
童装,儿童防晒衣/皮肤衣,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:47
童装,儿童防晒衣/皮肤衣,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:47
童装,儿童防晒衣/皮肤衣,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:47
童装,儿童防晒衣/皮肤衣,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:36:47
童装,儿童内衣内裤,热门行业,儿童内衣内裤,"2,864","4,817",2019-10-06 15:36:48
童装,儿童内衣内裤,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:48
童装,儿童内衣内裤,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:48
童装,儿童内衣内裤,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:48
童装,儿童内衣内裤,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:48
童装,儿童内衣内裤,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:36:48
童装,儿童袜,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:49
童装,儿童袜,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:49
童装,儿童袜,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:49
童装,儿童袜,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:49
童装,儿童袜,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:36:49
童装,儿童袜,热门行业,童卫衣,"2,991","5,223",2019-10-06 15:36:49
童装,连身衣、爬服,热门行业,连身衣、爬服,"3,559","6,660",2019-10-06 15:36:49
童装,连身衣、爬服,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:49
童装,连身衣、爬服,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:49
童装,连身衣、爬服,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:49
童装,连身衣、爬服,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:49
童装,连身衣、爬服,热门行业,童卫衣,"2,991","5,223",2019-10-06 15:36:49
童装,亲子装,热门行业,亲子装,"1,914","3,876",2019-10-06 15:36:50
童装,亲子装,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:50
童装,亲子装,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:50
童装,亲子装,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:50
童装,亲子装,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:50
童装,亲子装,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:36:50
童装,童T恤,热门行业,童T恤,"3,081","8,696",2019-10-06 15:36:50
童装,童T恤,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:50
童装,童T恤,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:50
童装,童T恤,热门行业,童套装,"6,352","17,418",2019-10-06 15:36:50
童装,童T恤,热门行业,连身衣、爬,"3,559","6,660",2019-10-06 15:36:50
童装,童T恤,热门行业,童卫衣,"2,991","5,223",2019-10-06 15:36:50
童装,童背心/吊带衫,热门行业,童背心/吊带衫,497,"1,521",2019-10-06 15:36:51
童装,童背心/吊带衫,热门行业,童裤,"4,533","11,450",2019-10-06 15:36:51
童装,童背心/吊带衫,热门行业,儿童袜,"3,242","7,960",2019-10-06 15:36:51
