category1,category2,showtime,purchaseIndex1688,supplyIndex,crawl_Time
童装,儿童防晒衣/皮肤衣,2018-12-13,109,491,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-12-14,102,490,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-12-15,93,473,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-12-16,62,472,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-12-17,57,472,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-12-18,97,471,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-12-19,132,470,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-12-20,93,471,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-12-21,110,472,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-12-22,92,472,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-12-23,80,471,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-12-24,65,469,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-12-25,80,470,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-12-26,103,468,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-12-27,77,467,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-12-28,97,467,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-12-29,94,466,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-12-30,82,466,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2018-12-31,77,465,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-01,57,464,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-02,33,464,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-03,81,468,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-04,87,465,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-05,74,465,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-06,75,466,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-07,58,467,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-08,111,466,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-09,110,466,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-10,118,467,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-11,106,469,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-12,106,467,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-13,77,468,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-14,89,468,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-15,104,468,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-16,125,468,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-17,125,485,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-18,123,486,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-19,106,486,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-20,103,484,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-21,90,485,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-22,139,488,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-23,123,488,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-24,124,487,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-25,117,486,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-26,108,486,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-27,77,486,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-28,45,486,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-29,73,484,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-30,62,484,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-01-31,71,483,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-02-01,58,483,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-02-02,42,482,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-02-03,36,481,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-02-04,68,481,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-02-05,29,480,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-02-06,23,480,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-02-07,51,479,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-02-08,48,478,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-02-09,43,479,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-02-10,80,479,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-02-11,106,479,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-02-12,171,478,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-02-13,249,478,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-02-14,284,479,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-02-15,266,478,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-02-16,312,477,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-02-17,274,478,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-02-18,243,479,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-02-19,275,480,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-02-20,308,484,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-02-21,304,493,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-02-22,307,497,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-02-23,363,499,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-02-24,343,497,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-02-25,287,501,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-02-26,383,503,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-02-27,414,509,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-02-28,444,514,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-01,434,521,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-02,465,527,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-03,426,531,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-04,370,533,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-05,495,537,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-06,507,541,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-07,615,549,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-08,563,560,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-09,581,565,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-10,505,569,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-11,478,573,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-12,619,582,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-13,653,590,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-14,652,597,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-15,642,604,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-16,659,616,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-17,592,625,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-18,594,633,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-19,769,647,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-20,857,666,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-21,896,684,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-22,895,701,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-23,824,711,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-24,725,723,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-25,693,732,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-26,819,749,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-27,878,763,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-28,912,781,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-29,1187,792,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-30,899,800,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-03-31,782,813,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-04-01,752,819,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-04-02,985,831,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-04-03,952,844,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-04-04,930,858,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-04-05,894,871,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-04-06,651,877,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-04-07,733,892,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-04-08,867,900,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-04-09,1202,917,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-04-10,1175,935,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-04-11,1197,947,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-04-12,1139,966,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-04-13,1120,982,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-04-14,941,998,2019-10-01 20:42:30
童装,儿童防晒衣/皮肤衣,2019-04-15,1080,1012,2019-10-01 20:42:30
