公司名,编号,地区,主要产品,主要市场,交易量,交易额
"Guangzhou Kader Garment Co., Ltd.  ",1,Guangzhou,"t shirt,polo shirt,hoodies,stringer vest,pants","North America 20%', 'Northern Europe 20%', 'Western Europe 16%",20,8000
"Jinjiang Jian Er Shoes & Garments Co., Ltd.  ",1,Jinjiang,"bodysuit,romper,infant wear,baby ', 'clothes', ' suit set,baby ', 'clothes', ' gift set","Eastern Asia 67%', 'Southern Europe 13%', 'South America 5%",0,0
"Hefei PHB Trading Co., Ltd.  ",1,Hefei,"baby clothing,', 'children', ' clothing,women clothing,', 'children', ' shoes,women shoes","Western Europe 30%', 'Africa 10%', 'Eastern Europe 10%",64,20000
"Qingdao Fengyi Garment Co., Ltd.  ",1,Qingdao,"pajama sets,robes,lounge wear,romper,nightgown","Northern Europe 10%', 'North America 8%', 'Eastern Europe 8%",138,70000
"FUJIAN FASHION FLYING GARMENTS CO.,LTD.  ",1,FUJIAN,"Softshell Jacket,Performance Jacket,Fleece Jacket,Ski Wear,Workwear","Western Europe 50.0%', 'North America 20.0%', 'Northern Europe 20.0%",22,2200000
"Shenzhen Weiyi Trading Co., Ltd.  ",1,Shenzhen,"girl dress,cosplay costume,elsa anna dress,Halloween cosplay,evening dress","South America 60%', 'North America 50%",116,120000
"Huiyang Tat Kwong Knitting Manufacturing Factory Co., Ltd.  ",1,Huiyang,"Apparel,Cloth,Printing,Knitted Fabric,Clothing","Western Europe 40%', 'Mid East 35%', 'Domestic Market 6%",2,90
Yiwu Sue Lucky Garments Factory  ,1,Yiwu,"pettiskirts,girls outfits,girls dress,girls top,girls pants",,85,50000
Guangzhou Yongfa ,1,Guangzhou,"Baby ', 'Clothes', ',Baby Blanket,Baby Shoes,Baby Socks,Baby Diaper Pants","Southeast Asia 30.0%', 'Africa 20.0%', 'South America 15.0%",121,60000
"Zhangzhou Forwishes Trading Co., Ltd.  ",1,Zhangzhou,"clothing,dresses,baby apparels,shoes,accessories","North America 70%', 'Oceania 10%', 'Western Europe 10%",101,40000
"Zhongshan Baby Love Garment Co., Ltd.  ",1,Zhongshan,"Children's"", ' sleepwear,kids pajamas,girls nightdress,boys underwear,girls underwear","North America 25%', 'Mid East 20%', 'Southeast Asia 20%",0,0
"Yiwu Zhong Lai Commodity Co., Ltd.  ",1,Yiwu,"apron,oven mitt,pot holder,baby bib,', 'clothes","North America 20%', 'South America 20%', 'Western Europe 10%",52,7000
"Zhengzhou Colortex Printing And Dyeing Co., Ltd.  ",1,Zhengzhou,"Fabric,Baby wear,sleeping bag,Blanket,clothing sets in giftboxes","South America 15%', 'North America 15%', 'Southeast Asia 15%",58,8000
"Hangzhou Detex Garments Co., Ltd.  ",1,Hangzhou,Apparel,"Western Europe 75.0%', 'Eastern Europe 10.0%', 'Northern Europe 5.0%",84,310000
"Jiangxi Kingtex Industrial Co., Ltd.  ",1,Jiangxi,"T-Shirts,Polo Shirts,', ""Children's"", ' Clothing,Sweaters","Central America 30%', 'South America 25%', 'Mid East 13%",3,500
"Puning Fashion Fun Trading Co., Ltd.  ",1,Puning,"children', ' characters clothing,', 'children', ' characters shoes,', 'children', ' characters stationery,', 'children', ' characters toys,', 'children', ' characters bags","Western Europe 30%', 'North America 30%', 'Africa 10%",96,30000
VIKY INDUSTRIES  ,1,VIKY,"Martial Arts,Boxing,Sports wears,Army badges and Uniforms accessories,Casual Wears","South America 20%', 'North America 20%', 'Central America 20%",0,0
"Wenzhou Yipu Import & Export Commercial Co., Ltd.  ",1,Wenzhou,"clothing,switch,auto parts","Southeast Asia 1%', 'Eastern Asia 1%', 'Northern Europe 1%",18,6000
"Nanchang Yunmin Knitting Garment Co., Ltd.  ",1,Nanchang,"T-shirts,Polo shirts,Hoodies,Sweatshirts,Pants","North America 29%', 'Eastern Asia 14%', 'Central America 11%",14,8000
"Huzhou Jiashuli Import & Export Co., Ltd.  ",1,Huzhou,"baby clothing,fabric,baby products","Northern Europe 20%', 'Western Europe 20%', 'North America 15%",0,0
"Quanzhou Huoyuan Garment Co., Ltd.  ",1,Quanzhou,"Underwear,Bra,Sleepwear,Baby Romper","Western Europe 60.0%', 'Northern Europe 33.0%', 'North America 3.0%",0,0
"Yiwu Qiqi Garment Co., Ltd.  ",1,Yiwu,"children's"", ' clothing,baby romper,baby dresses,ruffle pants,baby gowns","North America 35%', 'South America 35%', 'Eastern Europe 5%",0,0
"Yiwu Kangdi Garment Co., Ltd.  ",1,Yiwu,"maternity leggings,maternity ', 'clothes', ',baby ', 'clothes', ',beach pants,pp woven bag","South America 20%', 'North America 19%', 'Domestic Market 15%",0,0
"Jiangxi Jiasheng Clothing Co., Ltd.  ",1,Jiangxi,"Women Clothing,Fashion Dresses,Lady Blouses & Tops,Jumpsuits,Junior's Clothing","North America 20%', 'South America 15%', 'Western Europe 10%",22,10000
"Guangzhou Colorful Clothing Co., Ltd.  ",1,Guangzhou,"Election T Shirt,Polo Shirt,Promotion T Shirt,Shirt,Uniforms","Domestic Market 40%', 'Mid East 8%', 'Central America 8%",35,30000
Foshan Chancheng Dilawei Garment Factory  ,1,Foshan,"Kids costume,', 'Children', ' dress,Baby ', 'clothes', ',Child cowboy,', ""Children's"", ' shirt","North America 50%', 'South America 15%', 'Oceania 12%",39,3000
"Ningbo Auning Clothing Co., Ltd.  ",1,Ningbo,"Knitted Garment,Woven Garment","Southeast Asia 16%', 'Oceania 16%', 'Western Europe 16%",0,0
"Yiwu Jieluan Trading Co., Ltd.  ",1,Yiwu,"home decor,jewelry,daily provisions,Car accessories,Clothing & Accessories","North America 13%', 'Northern Europe 11%', 'Eastern Asia 10%",0,0
"Yiwu Blue Home Commodity Co., Ltd.  ",1,Yiwu,"Clothes', ',Party decorations,fashion Accessories,Promotion gift","North America 50%', 'Western Europe 30%', 'South America 10%",188,40000
"Foshan Gaoming Renmei Clothing Co., Ltd.  ",1,Foshan,"Maternity ', 'clothes', ',Sleepwear,Underwear,Baby ', 'clothes","Domestic Market 30%', 'North America 15%', 'South America 15%",2,500
"Xinzeng Industry Co., Ltd.  ",1,Xinzeng,"alumina ball,clothing","North America 30%', 'Southern Europe 15%', 'Western Europe 15%",19,3000
"Xuzhou Gaopeng Toys Co., Ltd.  ",1,Xuzhou,"Gifts & Crafts,Hold pillow,plush toys,Plush Father Christmas Toy,Crane machine toys cheap animal plush toys","North America 35%', 'Mid East 10%', 'Southeast Asia 10%",179,110000
"Yiwu Langge Crafts Co., Ltd.  ",1,Yiwu,"jewelry,hair accessories,bags,scarfs,hats","Central America 20%', 'North America 20%', 'South America 15%",0,0
"Yiwu HaoFei Trade Co., Ltd.  ",1,Yiwu,"Children's"", ' ', 'clothes', "",Women's "", 'clothes', "",Shoes,Weddings,Men's "", 'clothes","North America 30%', 'Oceania 20%', 'Northern Europe 12%",0,0
"Quanzhou Amoy Garments Co., Ltd.  ",1,Quanzhou,"baby ', 'clothes', ',baby bodysuits,baby rompers,swimwear,underwear","Southern Europe 50%', 'North America 10%', 'Mid East 10%",87,20000
"Yiwu Switey Import & Export Co., Ltd.  ",1,Yiwu,"Scarf,Swimsuit,Hat,Fashion,Jewerly","North America 44%', 'Eastern Asia 18%', 'Domestic Market 10%",12,7000
"Nanchang Trising Media Co., Ltd.  ",1,Nanchang,"Apparel,Stationery,Toy,Accessories,Promotion gifts","North America 55%', 'Western Europe 20%', 'Domestic Market 10%",0,0
"Yiwu Kaiya E-Commerence Co., Ltd.  ",1,Yiwu,"baby outfits,baby dress,baby romper,ruffle pant,baby gowns","North America 10%', 'Mid East 10%', 'Africa 10%",112,80000
"Zhengzhou Ledai Trading Co., Ltd.  ",1,Zhengzhou,"scarf,hijab,muslim dress,', 'clothes","North America 35%', 'Northern Europe 20%', 'Africa 10%",56,10000
"Yiwu Toy Time Trading Co., Ltd.  ",1,Yiwu,"Infant & Toddlers Clothing,Girls' Clothing,Boys' Clothing,Hosiery,Fashion Accessories","North America 38%', 'Oceania 12%', 'Southeast Asia 12%",239,30000
"Xi'an Dinaa Import & Export Co., Ltd.  ",1,Xi'an,"Women's "", 'Clothes', ',', ""Children's"", ' ', 'Clothes', "",Women's Fashion Bags,Clutch Wallets,Backpack School Bags","North America 42%', 'Western Europe 41%', 'Eastern Europe 5%",56,9000
"Yiwu City Qing Li Garment Co., Ltd.  ",1,Yiwu,"Pettiskirt,T-shirt,Romper,Ballet Tutus,Baby ', 'clothes","North America 10%', 'South America 10%', 'Southeast Asia 10%",106,30000
"Wenzhou Si Shang Clothing Co., Ltd.  ",1,Wenzhou,"Clothing for baby and ', 'children","Domestic Market 40.0%', 'North America 20.0%', 'Western Europe 20.0%",95,40000
"Shishi Pengfang Garments Co., Ltd.  ",1,Shishi,"Men's Clothing,Women's Clothing,"", 'Childrens', ' Clothing,Outdoor Wear,Beach Wear","Mid East 35%', 'Eastern Europe 15%', 'Oceania 15%",152,20000
"Shanghai Hexuan Baby Products Co., Ltd.  ",1,Shanghai,"muslin wraps,blanket,rompers,socks,shoes","South Asia 20%', 'North America 20%', 'Eastern Europe 15%",62,20000
Foshan Chancheng Beiqiya Garment Factory  ,1,Foshan,"children', ' ', 'clothes",Southeast Asia 100%,0,0
"Guangzhou Dongdan Trade Co., Ltd.  ",1,Guangzhou,"T-shirt,Hoodies&sweatshirts,pants,kids wear,jeans","North America 21%', 'Western Europe 15%', 'Northern Europe 10%",13,4000
"Ningbo Princess And Pea Import And Export Co., Ltd.  ",1,Ningbo,"girls ', 'clothes', ',headband,bow,scarf,doll ', 'clothes","North America 80%', 'Southeast Asia 5%', 'Western Europe 5%",0,0
"Nanchang Hollywin Clothing Co., Ltd.  ",1,Nanchang,"t-shirts,polo shirts,chiilren's "", 'clothes', ',pants,hoodies&sweatshirts","Eastern Asia 30%', 'Mid East 30%', 'Domestic Market 10%",8,40000
"Huaibei Wing Textile (Printing & Dyeing) Co., Ltd.  ",1,Huaibei,"african clothing,african wax cotton,african decorations,handmade decorations,bulk wholesale clothing","North America 30%', 'Africa 25%', 'South America 10%",192,30000
"Zhejiang Xintongxue Garment Co., Ltd.  ",1,Zhejiang,"Kids ', 'clothes', ',Rompers,Baby clothing sets,Kids wear dress,Kids clothing for girls","North America 30%', 'South America 30%', 'Eastern Europe 15%",0,0
"Guangzhou Huanyang Fashion Co., Ltd.  ",1,Guangzhou,"kid clothing,girls dress,girls clothing,boys clothing,other kids products","Southern Europe 15%', 'Western Europe 15%', 'Northern Europe 10%",178,50000
"Anhui Techs-Top Import And Export Trading Co., Ltd.  ",1,Anhui,"Men's&Women's "", 'clothes', ',Scarf,Shoes,Sweaters,Bags","Western Europe 20%', 'Africa 20%', 'North America 20%",236,30000
"Yiwu Jiayi Commodity Co., Ltd.  ",1,Yiwu,"Oven Mitt,tea towel,Apron,Key Chain,Potholder","Northern Europe 26%', 'Western Europe 15%', 'Eastern Asia 10%",116,100000
"Shenzhen Fengyuan Overseas Trading Co., Ltd.  ",1,Shenzhen,"Daily necessities,Textile,Crafts,Accessories,Light","South America 20%', 'Eastern Europe 20%', 'North America 15%",0,0
"Guangzhou Gaoteng Garment Co., Ltd.  ",1,Guangzhou,"girls dress,', 'children', ' jacket,', 'children', ' T-Shirt,', 'children', ' Pants,', 'children', ' Sweater","North America 55%', 'Domestic Market 20%', 'South America 5%",7,140000
HUNG LE TEXTILE GARMENT COMPANY LIMITED  ,1,HUNG,"GIRL SMOCK DRESS,NET FROCK,BABY CLOTH,BOY CLOTH,GIRL DRESS","Mid East 50%', 'South Asia 10%', 'Southeast Asia 10%",0,0
"Yiwu Rynel Garment Co., Ltd.  ",1,Yiwu,"Carnival Costumes,Halloween Costumes,Party Costumes,Cosplay Costumes,Sexy costumes","Western Europe 30%', 'North America 20%', 'Oceania 10%",26,120000
"Zhaoxian Tengxing Plastic Fashion Co., Ltd.  ",1,Zhaoxian,"Raincoat/Rain Poncho,Rain Hood,PVC Film,Safety Vest,Baby Diaper,PE Tent","Western Europe 0.0%', 'North America 0.0%', 'Domestic Market 0.0%",44,80000
"Anhui Sengeya Trade Co., Ltd.  ",1,Anhui,"clothes', ',accessories",,0,0
"Yancheng Yingchang Dress-Printing Co., Ltd.  ",1,Yancheng,"hoodie,adult outwear,', 'children', ' ', 'clothes', ',sportsuit,fabric","Southeast Asia 50%', 'Eastern Europe 40%', 'Domestic Market 10%",0,0
"Yiwu Tongyao Garment Co., Ltd.  ",1,Yiwu,"TUTU,Pettiskirt,Baby ', 'clothes","North America 70%', 'Western Europe 20%', 'Southeast Asia 4%",0,0
"Qingdao Zuoyou Garment Co., Ltd.  ",1,Qingdao,"Sleepwear,Loungewear,Robes","North America 60%', 'Western Europe 15%', 'Eastern Europe 15%",0,0
"Xi'an Changbiyuan E-Commerce Co., Ltd.  ",1,Xi'an,"kids ', 'clothes', ',kids shoes,baby ', 'clothes', ',baby shoes,kids dresses","South America 20%', 'Mid East 20%', 'Eastern Europe 18%",0,0
"Number One Industrial Co., Ltd.  ",1,Number,"Children's"", ' Clothing,Underwear","North America 35%', 'South America 15%', 'Central America 10%",44,60000
"Hefei Nicelee International Trading Co., Ltd.  ",1,Hefei,"women's clothing,baby/"", ""children's"", "" clothing,men's clothing,Shoes,Bags","Western Europe 20%', 'North America 15%', 'Africa 10%",158,20000
"Shenzhen Sveda Technology Co., Ltd.  ",1,Shenzhen,"action figures,', 'clothes', ',cosplay accessories,dolls,Animation products","Northern Europe 25%', 'Eastern Europe 25%', 'North America 15%",0,0
"Qingdao Glamour Garment Co., Ltd.  ",1,Qingdao,"Pajamas,Robes,Nightshirt,Nightgown,Onesie,Maternity Sleepwear","North America 73.0%', 'Western Europe 10.0%', 'Oceania 10.0%",187,280000
"Jinjiang Dadi Garment Co., Ltd.  ",1,Jinjiang,"Fleece Jacket,Sport Suit,PU Jacket","Western Europe 36.0%', 'South America 24.0%', 'North America 20.0%",0,0
"Xi'an Hao Baby Trading Co., Ltd.  ",1,Xi'an,"Women ', 'Clothes', ',Women Shaper,Yoga leggings,Baby ', 'Clothes', ',Women shoes","Africa 30%', 'North America 20%', 'South America 20%",29,10000
"Hangzhou Home Run Import & Export Co., Ltd.  ",1,Hangzhou,"24K Gold Rolling Paper,24K Gold Cone,Glass Filter Tip,Glass Pipe,Rolling Tray","North America 70%', 'Western Europe 20%', 'Eastern Europe 5%",21,8000
Yiwu Huorong Garment Factory  ,1,Yiwu,"Children's"", ' garments,Headwear,Accessories,Shoes,minor ingredient","North America 65%', 'South America 12%', 'Southern Europe 5%",178,70000
"Hangzhou Sporter Garments Co., Ltd.  ",1,Hangzhou,"Cashmere Sweater,Christmas Sweater,Leather Product,Kids Wear","North America 40.0%', 'Western Europe 20.0%', 'Northern Europe 15.0%",55,280000
"Huzhou Zhenyitong Garment Co., Ltd.  ",1,Huzhou,"kids clothing,kids clothing set,girl ', 'clothes","South Asia 5%', 'Eastern Asia 5%', 'Oceania 5%",0,0
"Shenzhen Yali Clothing Co., Ltd.  ",1,Shenzhen,"dress,stock apparel,plus size clothing,creative wear,fashion clothing","Western Europe 30%', 'Central America 20%', 'Northern Europe 10%",0,0
"Yiwu Langdong Trade Co., Ltd.  ",1,Yiwu,"baby ', 'clothes', ',girls ', 'clothes', ',adult ', 'clothes', ',boys ', 'clothes', ',pets ', 'clothes","North America 60%', 'Oceania 20%', 'Western Europe 20%",195,40000
Cangnan Xueya Paper Plastic Package Factory  ,1,Cangnan,"canvas bag,cotton bag,wallet,promotion gifts,kids clothing","North America 50%', 'Northern Europe 15%', 'South America 10%",192,70000
"Yiwu Puresun Garment Co., Ltd.  ",1,Yiwu,Clothing,"North America 50%', 'South America 30%', 'Western Europe 20%",0,0
"Yiwu Cozy Home Textiles Co., Ltd.  ",1,Yiwu,"towel,bathrobe,poncho,romper,mat","Central America 14%', 'Southern Europe 10%', 'Eastern Europe 10%",62,80000
"Quzhou Dora Smile Garment Co., Ltd.  ",1,Quzhou,"boy clothing,baby romper,baby accessories,girls dress,girls sets","North America 90%', 'Western Europe 10%",219,40000
"Jinjiang Young Power Imp & Exp Co., Ltd.  ",1,Jinjiang,"JACKET,HOODIES,SWEATSHIRT,SOCCER JERSEY,T SHIRT","South America 30%', 'Eastern Europe 20%', 'North America 20%",0,0
"Yiwu Zhihao Garment Co., Ltd.  ",1,Yiwu,"TUTUS,PETTIKSIRTS,JULY 4TH ', 'CLOTHES', ',T-SHIRTS,GIRLS DOLL ', 'CLOTHES",,33,10000
"Yiwu Feiniu Trading Co., Ltd.  ",1,Yiwu,"Home textile,Clothing and apparel,Shoes,Luggage and Bags,Toys","North America 45%', 'Western Europe 25%', 'Eastern Europe 15%",0,0
"Ningbo Carmi Garment Co., Ltd.  ",1,Ningbo,"clothing,fabric,garment accessories,curtain,toys","North America 50%', 'Northern Europe 15%', 'Eastern Europe 10%",0,0
"Dongguan Ling Zhi Xiu Garment Co., Ltd.  ",1,Dongguan,"Jacket,Dress,Tops,Pants,Skirt","Oceania 86.0%', 'North America 12.0%', 'Eastern Europe 2.0%",56,40000
"Huzhou Ba Mudi Garment Co., Ltd.  ",1,Huzhou,"Girl's Dress,"", 'Children', ' Clothing Set,', 'Children', ' Outwear","Southeast Asia 0.0%', 'North America 0.0%', 'Mid East 0.0%",8,10000
"Hefei Shali Trade Co., Ltd.  ",1,Hefei,"bags,men shoes,women shoes,kids shoes,women ', 'clothes","North America 11%', 'Western Europe 11%', 'Southern Europe 11%",179,20000
Yiwu Qiaolei Garment Factory  ,1,Yiwu,"girls dresses,girls clothing,baby ', 'clothes', ',kids clothing,leggings","South America 20%', 'Mid East 18%', 'North America 12%",24,10000
"Yiwu Deyu Underwear Co., Ltd.  ",1,Yiwu,"Bra,Panty,T Shirt,', 'Clothes', ',Stock","Eastern Asia 8%', 'Central America 8%', 'Southern Europe 8%",0,0
"Yiwu Bobo Crafts Co., Ltd.  ",1,Yiwu,"Flowers,Headbands,Bows,Sashes,lace Rompers","North America 65%', 'Oceania 15%', 'Western Europe 10%",103,90000
"Guangxi Hengzhihua E-Commerce Co., Ltd.  ",1,Guangxi,"Girls costume,Fancy dress,Princess dress,Kids Swimwear,Baby romper","North America 50%', 'Western Europe 8%', 'Northern Europe 8%",0,0
"Huzhou YishiYuan Clothing Co., Ltd.  ",1,Huzhou,"clothing sets,Jackets,pants,Rompers,dress","Domestic Market 20%', 'South America 17%', 'Northern Europe 15%",45,7000
"Hollee Fashional Co., Ltd.  ",1,Hollee,"Raincoat,Poncho,Work Wear,Jacket,Shower Curtain","North America 20.0%', 'Western Europe 20.0%', 'Africa 10.0%",13,80000
"Yiwu Adorablekids Clothing Co., Ltd.  ",1,Yiwu,"baby outfit,baby pant,baby tops,baby dress,baby bloomer","North America 70%', 'South America 15%', 'Eastern Europe 15%",9,6000
"Dongguan Ryder Clothing Co., Ltd.  ",1,Dongguan,"clothing,household supplies,jewelry,sunglasses,adults","North America 35%', 'Eastern Europe 30%', 'Western Europe 15%",0,0
"Anhui Ouruili Imp. & Exp. Co., Ltd.  ",1,Anhui,"clothes', ',shoes,bags,jewelry,hat","Africa 20%', 'Central America 15%', 'North America 10%",253,30000
"Cangzhou Yuqi International Trade Co., Ltd.  ",1,Cangzhou,"women dress,women jumpsuit,2 or 3 pieces set women clothing,baby ', 'clothes', ',paper cup","Northern Europe 9%', 'Central America 8%', 'North America 8%",0,0
"Yiwu Rand Garment Co., Ltd.  ",1,Yiwu,"Children', ' clothing,Clothing accessories","North America 70.0%', 'Western Europe 15.0%', 'Oceania 15.0%",133,30000
"Fujian Chihosen Trading Co., Ltd.  ",1,Fujian,"baby outfits,baby rompers,women dresses,', 'children', ' ', 'clothes', ',baby dresses","North America 30%', 'Oceania 20%', 'Southeast Asia 10%",203,20000
"Ningbo Jiangbei Princess And Pea Clothing Co., Ltd.  ",1,Ningbo,"kids wear,pettiskirts,crochet hat,leg warmer,bloomer","North America 90%', 'Eastern Europe 5%', 'Northern Europe 5%",13,10000
"Dongguan City Ecoach Apparel Co., Ltd.  ",1,Dongguan,"Apparel(Jacket,T Shirt,Dress,Hoodies,Blouse&Top,Sweatshirts,Joggers,Pregnant Clothing,Swimsuit,Sports Wear,Wetsuit)","North America 50%', 'Southern Europe 15%', 'Southern Europe 15%",111,160000
"Hefei Adorable Garment Co., Ltd.  ",1,Hefei,"kids clothing,infant & toddler clothing,kids shoes,kids accessories,couple&family","Central America 16%', 'North America 15%', 'Southeast Asia 10%",26,7000
"Xiamen Yingjieli Garments Co., Ltd.  ",1,Xiamen,"Ski Wear,Camping & Hiking Wear,Padded Jacket,Vest,Down Vest","North America 83.33%', 'Western Europe 16.67%",23,8000
Yiwu Ruidian Garment Factory  ,1,Yiwu,"girls ', 'clothes', ',pittepants,girls top,baby top romper,girls dress","North America 25%', 'Western Europe 18%', 'Eastern Europe 15%",80,20000
"Foshan Lanzhu Angedi Apparel Co., Ltd.  ",1,Foshan,"T shirt,Polo shirt,Tank top,Hoody,Jersey","North America 20%', 'Western Europe 15%', 'Eastern Europe 12%",2,400
"Yiwu Luanli Garment Co., Ltd.  ",1,Yiwu,"Baby clothing,girl dress,baby outfit,headband,Scarf","North America 80%', 'South America 10%', 'Eastern Europe 3%",10,1000
"Shaoxing Keqiao Geweiya Textile Co., Ltd.  ",1,Shaoxing,"scarf,fabric,curtain,artware,clothing","Eastern Europe 18%', 'North America 14%', 'Domestic Market 13%",91,120000
"Shantou Yuebaoli Industrial Co., Ltd.  ",1,Shantou,"Baby ', 'clothes', ',Baby products","North America 35%', 'Domestic Market 30%', 'Western Europe 15%",0,0
"Hangzhou Guantuo Textile Co., Ltd.  ",1,Hangzhou,"baby ', 'clothes', ',', 'children', ' ', 'clothes', ',baby dress,baby sets,baby outerwear",,0,0
HA FASHION BD  ,1,HA,"Men's Clothing,Women's Clothing,"", 'Children', ' Clothing,Leggings / Pyjama,Socks","Northern Europe 18%', 'Eastern Europe 18%', 'Southern Europe 18%",0,0
DUX APPAREL PTY. LTD.  ,1,DUX,"Motorbike Jeans & Trousers,Motorbike Jackets & Hoodies,Denim Jeans,Trousers,Fashion ', 'Clothes","Oceania 20%', 'Southern Europe 20%', 'Eastern Europe 20%",0,0
"Yiwu Ruitong Clothing Co., Ltd.  ",1,Yiwu,"Children', ' ', 'Clothes', ',kids shoes,hats,Clothing accessories,Socks & Leggings","North America 20%', 'Eastern Europe 20%', 'Eastern Asia 15%",0,0
"Hangzhou Novelty Garment Co., Ltd.  ",1,Hangzhou,"Sweaters,Hats,Scarves,pullover,cardigan","Western Europe 20%', 'North America 17%', 'Northern Europe 14%",0,0
"Guangzhou SOP Garments Co., Ltd.  ",1,Guangzhou,"Garments,', 'Clothes', ',', ""Children's"", ' Garments,Baby ', 'Clothes', ',Women Men ', 'Clothes","North America 30%', 'Eastern Europe 10%', 'Southeast Asia 10%",30,310000
"Guangzhou Liule Garments Co., Ltd.  ",1,Guangzhou,"Casual Dress,T Shirt,Shirt,Coat,Pants","Domestic Market 90.0%', 'North America 6.0%', 'Western Europe 3.0%",49,320000
"Yiwu Luanli Garment Co., Ltd.  ",1,Yiwu,"boutique outfit,dress,romper,gown,pajama","North America 45%', 'South America 30%', 'Eastern Europe 10%",90,30000
Guangzhou Beautiful Used ,1,Guangzhou,"used clothing,used bags,used shoes",,0,0
"Guangzhou Yichi Software Technology Co., Ltd.  ",1,Guangzhou,"mobile phone&accessories,Festive & Party Supplies,Festive & Party Supplies,gifts packaging,hat & scarf","North America 50%', 'Eastern Europe 10%', 'South America 10%",0,0
"Guangzhou Shanlai Trade Co., Ltd.  ",1,Guangzhou,"jeans,polo shirt,business shirt,knitting,T-shirt","North America 20%', 'Western Europe 20%', 'Eastern Europe 15%",164,260000
"Yiwu Xuan Xin Import and Export Co., Ltd.  ",1,Yiwu,"kid clothing,adult clothing,headband /scarf,necklace,hat","North America 3%', 'South America 2%', 'Eastern Europe 1%",0,0
"Xiamen Sportex Trading Co., Ltd.  ",1,Xiamen,"Sportswear,Jacket,Underwear,Swimwear,Running & Cycling Wear","North America 26%', 'Western Europe 25%', 'Oceania 19%",23,60000
"Huzhou Blue Carp Trading Co., Ltd.  ",1,Huzhou,"kids clothing,Sexy lingerie,Furniture cover,Tarp","North America 30%', 'Eastern Europe 20%', 'Mid East 15%",62,10000
"Beijing Newsoon Garments Co., Ltd.  ",1,Beijing,"Sports & Entertainment,Toys & Hobbies,Apparel,Shoes & Accessories,Textiles & Leather Products","Eastern Europe 45%', 'Northern Europe 20%', 'North America 10%",95,40000
Yiwu Xiangguan ,1,Yiwu,"baby shoes,baby sandals,baby boots,baby socks,baby ', 'clothes","North America 20%', 'Southeast Asia 15%', 'Eastern Europe 14%",51,7000
"Jiangxi Kaimei Garment Co., Ltd.  ",1,Jiangxi,"Knit garment,fleece hoodies,sweatshirt,fleece jacket,polo t shirt","Western Europe 16%', 'South America 15%', 'North America 10%",1,9
Shenzhen Runzesen Electronic Commerce Company Limited  ,1,Shenzhen,"household products,', ""children's"", ' garments,', ""children's"", ' shoes","North America 30%', 'South America 30%', 'Southeast Asia 20%",0,0
"Guangzhou Fengrui Clothing Co., Ltd.  ",1,Guangzhou,Sports Wear,"Domestic Market 50%', 'North America 25%', 'South America 14%",210,90000
"Shenzhen Stintop Technology Co., Ltd.  ",1,Shenzhen,"Home&garden,PVC trunking and pipe,dutch bucket,Commercial kitchen equipment,Commercial refrigeration equipment","Northern Europe 20%', 'Eastern Europe 15%', 'Africa 10%",12,10000
NGUYEN KHAI SOLUTION SERVICE TRADING COMPANY LIMITED  ,1,NGUYEN,"Polo Shirt,T-Shirt,Print T-Shirt,Kids T-shirt,Embroidry T-Shirt","Domestic Market 25%', 'Eastern Asia 12%', 'South Asia 10%",0,0
Dongguan Xumuran Garment Limited Company  ,1,Dongguan,"Children's"", ' Clothing (Coat,t-shirt,Shirt,Pants,Dress)","Domestic Market 31.7%', 'North America 30.0%', 'Southeast Asia 10.0%",74,40000
"Dongguan Ziying Garment Co., Ltd.  ",1,Dongguan,"baby ropmer,girls dress/skirt,kids t shirt,kids pants/shorts,kids coat/jackt","Oceania 90%', 'Northern Europe 40%', 'Southern Europe 40%",16,70000
"Hengshui Shuoyang Imp. And Exp. Co., Ltd.  ",1,Hengshui,"Healthcare Series,Body Shapers Series,Sport Series,Maternity & Baby Series,Outdoor Series","Western Europe 16%', 'Southern Europe 13%', 'Northern Europe 12%",242,50000
"Guangzhou Guiyun Clothing Co., Ltd.  ",1,Guangzhou,"rash guard,tights,leggings,compression wear,yoga wear","North America 40%', 'Eastern Europe 20%', 'Western Europe 20%",61,20000
"Yiwu Kapu Clothing Co., Ltd.  ",1,Yiwu,"Baby clothing,baby shoes,pettiskirts,hair accessories,import and export","North America 70%', 'South America 13%', 'Oceania 10%",114,30000
"Nanchang Byval Garment Co., Ltd.  ",1,Nanchang,"T shirt,Polo shirt,Hoodies,Sweater,Tank Top","North America 17%', 'South America 15%', 'Northern Europe 15%",57,180000
"Yiwu Maxine Trading Co., Ltd.  ",1,Yiwu,"Girl ', 'clothes', ',boy ', 'clothes', ',baby ', 'clothes', ',canvas bag,baby ', 'clothes","Southeast Asia 30%', 'North America 20%', 'Central America 10%",0,0
"Guangzhou Meiqiai Garment Co., Ltd.  ",1,Guangzhou,"Girl Party Dress,', 'Children', ' Dress,Cosplay Costume","North America 25.0%', 'Western Europe 20.0%', 'Southeast Asia 20.0%",221,120000
"Guangdong Yihua Technology Co., Ltd.  ",1,Guangdong,"Face Mask,Beauty Tools,Personal Care,Body Care,Make Up",South America 90%,0,0
"Liaocheng Blackant Import And Export Co., Ltd.  ",1,Liaocheng,"Baby Romper,T-shirt,Knitted Jacket","Western Europe 16.0%', 'Eastern Asia 16.0%', 'Domestic Market 16.0%",1,10
