公司名,编号,地区,主要产品,主要市场,交易量,交易额
"Shijiazhuang Yuai Garment Trading Co., Ltd.  ",1,Shijiazhuang,"baby ', 'clothes', ',', 'children', ' ', 'clothes', ',baby romper,baby dress,baby clothing set","North America 30%', 'Africa 20%', 'Eastern Europe 20%",5,200
Yiwu Kalun Garment Factory  ,1,Yiwu,"garments,pettiskirt,pettipant,shirts,ruffle top","Central America 20%', 'South America 20%', 'Eastern Asia 10%",185,40000
"Yiwu Sandro Trade Co., Ltd.  ",1,Yiwu,"storage bag,bean bag,cosmetic bag,makeup bag,Pouch","North America 20%', 'Southern Europe 20%', 'South America 10%",69,90000
"Quanzhou Kinrun Shoes & Clothing Co., Ltd.  ",1,Quanzhou,"baby bodysuit,backpack bag,sport shoes,casual shoes,T shirt","Southern Europe 20%', 'Eastern Europe 20%', 'Western Europe 20%",226,70000
"Nanchang XiHui Import and Export Trade Co., Ltd.  ",1,Nanchang,"garment,clothing,mens suit","North America 50%', 'Mid East 20%', 'South Asia 20%",31,4000
"Yiwu City Aier Clothing Co., Ltd.  ",1,Yiwu,"childrens', "" boutique outfits,girls dress,romper,boys and girls pants,borthers and sister's outfit",,0,0
UCLER TEKSTIL TURIZM VE INSAAT SANAYI DIS TICARET LIMITED SIRKETI  ,1,UCLER,"Baby kids and ', 'children', ' wholesale clothing Laleli Istanbul Turkey,wholesale Kids Girl clothing and dresses,Wholesale Kids Boy clothing suits and sport wears,Baby and newborn clothing body blanket and socks,', 'Children', ' and kids school ', 'clothes","Northern Europe 10%', 'Eastern Europe 10%', 'South Asia 10%",0,0
"Shanghai Caparison Trading Co., Ltd.  ",1,Shanghai,"Children', ' ', 'clothes', ',baby romper,baby suit,baby dress,girl party dress","North America 35%', 'South America 30%', 'Eastern Europe 10%",270,30000
"Shaoxing Shangyu Aimiyaa Imp. & Exp. Co., Ltd.  ",1,Shaoxing,"girl dress,baby ', 'clothes', ',baby romper,baby clothing set,headband","North America 46%', 'Africa 8%', 'South America 8%",29,6000
"Yiwu Happy Luoka Garments Co., Ltd.  ",1,Yiwu,"Baby Shoes,Girls' Dresses,Leg Warmer,necklace,Baby Headband",,208,130000
"Shenzhen Cargo-Global Trading Co., Ltd.  ",1,Shenzhen,"Apparel & Accessories,Luggage & Bags,Mother & Kids,Jewelry & Accessories,Beauty & Health","South America 20%', 'Western Europe 10%', 'Southeast Asia 10%",85,30000
"Shanghai Ivy Trading Co., Ltd.  ",1,Shanghai,"clothes', ',shoes,hats,kids toys,accessories","North America 20%', 'Africa 18%', 'South America 15%",79,10000
"Shenzhen KQ Technology Co., Ltd.  ",1,Shenzhen,"boys clothing,boy's clothing sets,kids clothing boy,"", ""children's"", ' wear,kids clothing","North America 50%', 'South America 20%', 'Northern Europe 10%",0,0
"Shijiazhuang Aofeite Medical Device Co., Ltd.  ",1,Shijiazhuang,"Lumbar Support Belt,Knee Brace","North America 24.52%', 'Western Europe 19.32%', 'Southern Europe 12.96%",681,420000
"Guangzhou Yulong Garment Co., Ltd.  ",1,Guangzhou,"Children's"", ' wear,Boys in ', ""Children's"", ' ', 'Clothes', ',', ""Children's"", ' suit","South Asia 60%', 'Southeast Asia 30%', 'Eastern Asia 10%",0,0
"Yiwu Boka Garment Accessories Co., Ltd.  ",1,Yiwu,"yoga pants,fabric,lace,women belt,Clothing accessories","Northern Europe 20%', 'North America 10%', 'Eastern Europe 10%",57,20000
"Foshan Yiheng Clothing Co., Ltd.  ",1,Foshan,"Child', ' ', 'Clothes', ',', ""Children's"", ' sports suit",Northern Europe 80%,0,0
"Yiwu JiangYi Shoes Industry Co., Ltd.  ",1,Yiwu,"mask,costumes,wigs,hats,party accessories","Eastern Europe 20%', 'Western Europe 20%', 'Northern Europe 20%",0,0
"Zhuhai Musen Garment Co., Ltd.  ",1,Zhuhai,"Clothing design,Clothing production,Clothing sales,Clothing Import and Export,OEM","Domestic Market 30%', 'North America 20%', 'Northern Europe 12%",0,0
